customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-CUST,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,108.36,4333.83,Yes
0001-CUST,Female,1,Yes,Yes,68,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,93.52,5726.28,No
0002-CUST,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),83.19,4688.67,Yes
0003-CUST,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),30.33,1996.98,Yes
0004-CUST,Male,0,Yes,No,64,No,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,25.03,1601.25,No
0005-CUST,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.85,5189.05,Yes
0006-CUST,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Mailed check,70.31,3651.44,No
0007-CUST,Male,0,No,No,35,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),118.42,3888.58,No
0008-CUST,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),104.92,6701.36,Yes
0009-CUST,Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),76.15,1049.26,No
0010-CUST,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,30.17,495.33,Yes
0011-CUST,Male,0,No,No,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,28.02,76.77,Yes
0012-CUST,Male,0,No,No,10,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),65.09,614.19,Yes
0013-CUST,Male,0,No,No,5,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,33.23,153.28,Yes
0014-CUST,Female,0,Yes,No,50,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,87.89,4248.05,Yes
0015-CUST,Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,22.81,1230.55,Yes
0016-CUST,Female,0,No,Yes,59,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,119.37,6548.74,No
0017-CUST,Female,0,No,No,17,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Electronic check,114.48,1859.85,No
0018-CUST,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),79.62,5205.16,No
0019-CUST,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),38.2,575.46,No
0020-CUST,Female,1,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,46.79,1538.82,Yes
0021-CUST,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),48.03,1352.71,No
0022-CUST,Female,0,Yes,No,18,Yes,No phone service,No,No,No,No,No internet service,No,No,Two year,No,Electronic check,37.0,639.53,No
0023-CUST,Female,1,No,Yes,8,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,One year,No,Credit card (automatic),29.22,211.78,No
0024-CUST,Female,0,No,No,39,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,85.63,3276.15,Yes
0025-CUST,Female,0,No,No,43,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,94.28,3921.29,No
0026-CUST,Female,0,No,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,42.93,2272.55,No
0027-CUST,Female,0,No,No,24,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,95.36,2062.2,Yes
0028-CUST,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),34.83,2422.42,No
0029-CUST,Female,0,No,No,52,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,41.76,1997.46,No
0030-CUST,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,98.0,4339.76,Yes
0031-CUST,Male,0,Yes,Yes,70,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,117.73,7762.16,No
0032-CUST,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),97.34,4599.03,No
0033-CUST,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,38.13,1794.4,Yes
0034-CUST,Female,0,No,No,42,No,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.39,1951.83,No
0035-CUST,Male,0,Yes,No,18,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,83.25,1428.83,Yes
0036-CUST,Female,1,No,No,65,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.38,7396.9,Yes
0037-CUST,Male,0,Yes,No,33,No,No phone service,No,No,No,Yes,No,No internet service,No,Two year,No,Mailed check,119.46,3906.82,No
0038-CUST,Male,1,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,77.94,5122.72,Yes
0039-CUST,Male,0,Yes,No,53,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),62.52,3210.04,No
0040-CUST,Male,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.66,0.0,Yes
0041-CUST,Male,0,No,Yes,54,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),25.77,1361.02,Yes
0042-CUST,Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),49.33,629.62,No
0043-CUST,Female,0,Yes,Yes,14,No,No phone service,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.11,966.15,No
0044-CUST,Female,0,Yes,Yes,22,No,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),83.16,1685.53,Yes
0045-CUST,Female,0,No,No,65,No,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.75,3236.94,Yes
0046-CUST,Female,1,Yes,No,45,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),115.87,5041.02,No
0047-CUST,Male,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,27.62,219.16,Yes
0048-CUST,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,One year,Yes,Mailed check,90.37,5330.19,No
0049-CUST,Female,0,Yes,No,65,Yes,Yes,No,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),56.45,3553.38,No
0050-CUST,Male,0,No,No,17,Yes,Yes,No,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),97.51,1493.97,No
0051-CUST,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,103.14,1569.26,Yes
0052-CUST,Male,0,No,No,71,No,Yes,No,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,91.96,6176.91,No
0053-CUST,Female,1,Yes,No,33,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),76.23,2275.36,No
0054-CUST,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,25.9,1617.98,Yes
0055-CUST,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,32.36,1998.27,Yes
0056-CUST,Female,0,No,No,43,Yes,No,No,No,No internet service,Yes,No,Yes,Yes,One year,No,Electronic check,78.89,3156.19,No
0057-CUST,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,116.37,3089.6,No
0058-CUST,Male,0,Yes,No,61,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,Yes,Electronic check,72.02,4127.11,No
0059-CUST,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),109.83,1513.28,Yes
0060-CUST,Male,0,Yes,No,51,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,112.42,5699.58,Yes
0061-CUST,Male,0,Yes,Yes,1,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),30.25,27.39,No
0062-CUST,Male,0,No,Yes,60,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,64.53,3663.59,Yes
0063-CUST,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.79,265.5,Yes
0064-CUST,Male,0,No,No,51,Yes,No,No,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,59.67,2941.76,No
0065-CUST,Female,0,No,No,40,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,47.94,1849.91,No
0066-CUST,Female,0,No,No,51,No,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Two year,Yes,Mailed check,111.24,5501.17,No
0067-CUST,Male,1,No,Yes,30,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,78.92,2249.03,No
0068-CUST,Female,1,No,No,25,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.07,1869.28,Yes
0069-CUST,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,89.28,2205.97,No
0070-CUST,Female,0,No,No,50,No,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),117.23,5790.71,No
0071-CUST,Female,0,Yes,No,47,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,80.77,3541.38,No
0072-CUST,Male,0,No,No,10,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),19.65,194.26,Yes
0073-CUST,Female,1,No,Yes,7,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),116.57,791.74,Yes
0074-CUST,Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,41.18,450.65,Yes
0075-CUST,Female,1,No,Yes,44,Yes,Yes,No,No,No,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,116.06,4845.25,No
0076-CUST,Female,1,Yes,No,33,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,58.48,1790.67,No
0077-CUST,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,105.64,6805.32,No
0078-CUST,Male,0,No,No,46,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),58.91,2441.09,No
0079-CUST,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),82.27,1629.64,Yes
0080-CUST,Male,1,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),58.98,2256.44,No
0081-CUST,Female,0,No,No,21,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,93.37,1785.75,Yes
0082-CUST,Male,1,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.16,1873.22,Yes
0083-CUST,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,104.57,2706.31,Yes
0084-CUST,Male,0,Yes,No,66,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),40.74,2667.88,No
0085-CUST,Male,1,No,Yes,70,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),102.72,7004.34,Yes
0086-CUST,Female,0,No,No,13,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,59.21,724.99,No
0087-CUST,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,79.9,5200.41,No
0088-CUST,Female,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,24.36,1197.82,Yes
